fecha,ipc,inflacion_mensual,tipo_cambio
2017-01-01,101.5859,1.5858999999999845,16.1
2017-02-01,103.6859,2.0672160211210544,15.7
2017-03-01,106.1476,2.3741897403600554,15.55
2017-04-01,108.9667,2.6558301836310916,15.6
2017-05-01,110.5301,1.4347502493881281,16.3
2017-06-01,111.8477,1.1920734713892323,16.8
2017-07-01,113.7852,1.7322662871029015,17.85
2017-08-01,115.3819,1.4032580687119323,17.5
2017-09-01,117.5719,1.8980446673178442,17.5
2017-10-01,119.3528,1.5147326869770827,17.85
2017-11-01,120.994,1.3750829473627713,17.5
2017-12-01,124.7956,3.1419739821809234,18.649
2018-01-01,126.9887,1.7573536246470178,19.65
2018-02-01,130.0606,2.419034134533238,20.11
2018-03-01,133.1054,2.3410625508416993,20.149
2018-04-01,136.7512,2.7390323758465174,20.535
2018-05-01,139.5893,2.0753748413176565,24.96
2018-06-01,144.8053,3.736676091935398,28.85
2018-07-01,149.2966,3.1016129934470893,27.41
2018-08-01,155.1034,3.8894388753662135,36.85
2018-09-01,165.2383,6.534286160071301,41.25
2018-10-01,174.1473,5.391607151610733,35.95
2018-11-01,179.6388,3.1533649961842602,37.72
2018-12-01,184.2552,2.569823445714392,37.7
2019-01-01,189.6101,2.9062409093474573,37.35
2019-02-01,196.7501,3.765622189957196,39.15
2019-03-01,205.9571,4.679540188289599,43.345
2019-04-01,212.9596414,3.400000000000003,44.15
2019-05-01,219.5691,3.103620271216312,44.76
2019-06-01,225.537,2.718005402399526,42.45
2019-07-01,230.494,2.197865538692101,43.87
2019-08-01,239.6077,3.953985787048686,59.51
2019-09-01,253.7102,5.885662272122305,57.595
2019-10-01,262.0661,3.2934820909841234,59.67
2019-11-01,273.2158,4.254537309480311,59.94
2019-12-01,283.4442,3.743707355138337,59.89
2020-01-01,289.8299,2.2528949260559816,60.35
2020-02-01,295.666,2.0136293736429556,62.21
2020-03-01,305.5515,3.343468643672254,64.469
2020-04-01,310.1243,1.496572590872569,66.84
2020-05-01,314.9087,1.542736251238619,68.54
2020-06-01,321.9738,2.2435391591276943,70.46
2020-07-01,328.2014,1.9341946456512993,72.32
2020-08-01,337.0632,2.7001103590661213,74.18
2020-09-01,346.6207,2.8355216469789557,76.18
2020-10-01,359.657,3.760969843982198,78.32
2020-11-01,371.0211,3.1597049410966527,81.31
2020-12-01,385.8826,4.005567338353533,84.15
2021-01-01,401.5071,4.04902941982872,87.33
2021-02-01,415.8595,3.57463168148211,89.82
2021-03-01,435.8657,4.810807496281799,92.0
2021-04-01,453.6503,4.080293539959667,93.56
2021-05-01,468.725,3.3229780736395487,94.56
2021-06-01,483.6049,3.1745479758920503,95.72
2021-07-01,498.0987,2.9970333220362466,96.69
2021-08-01,510.3942,2.4684866674014705,97.74
2021-09-01,528.4968,3.546787953311381,98.74
2021-10-01,547.0802,3.51627483837178,99.72
2021-11-01,560.9184,2.5294646013509503,100.96
2021-12-01,582.4575,3.839970305841267,102.72
2022-01-01,605.0317,3.875681916706375,105.02
2022-02-01,633.4341,4.6943656010089985,107.45
2022-03-01,676.0566,6.7287978339025445,111.01
2022-04-01,716.9399,6.047319114997163,115.31
2022-05-01,753.147,5.0502280595626114,120.2
2022-06-01,793.0278,5.295221251628157,125.23
2022-07-01,851.761,7.406196857159353,131.27
2022-08-01,911.1316,6.970335575355069,138.73
2022-09-01,967.3076,6.165519887577164,147.32
2022-10-01,1028.706,6.34735010869345,156.91
2022-11-01,1079.2787,4.9161470818679165,167.28
2022-12-01,1134.5875,5.124607758867095,177.16
2023-01-01,1202.979,6.027873566384256,187.0
2023-02-01,1282.7091,6.62772168092709,197.15
2023-03-01,1381.1601,7.675239849783555,209.01
2023-04-01,1497.2147,8.402689883670966,222.68
2023-05-01,1613.5895,7.772752965890595,239.5
2023-06-01,1709.6115,5.950831980500615,256.7
2023-07-01,1818.0838,6.344850862315798,275.25
2023-08-01,2044.2832,12.441637728689958,350.0
2023-09-01,2304.9242,12.749750132466954,349.9501
2023-10-01,2496.273,8.301739380410012,350.0
2023-11-01,2816.0628,12.81069017691574,360.5
2023-12-01,3533.1922,25.46567498423684,828.25
2024-01-01,4261.5324,20.614225288961062,845.5
2024-02-01,4825.7881,13.24067605352477,861.0
2024-03-01,5357.0929,11.009700156540237,876.0
2024-04-01,5830.2271,8.831920760605083,896.0
2024-05-01,6073.7,4.176044874821416,914.0
2024-06-01,6351.7145,4.577349885572235,930.5
2024-07-01,6607.7479,4.030933695146399,951.5
2024-08-01,6883.4412,4.172273279372529,972.0
2024-09-01,7122.2421,3.4692081048066425,990.0
2024-10-01,7313.9542,2.6917380413114644,1011.5
2024-11-01,7491.4314,2.426556075508368,1031.0
2024-12-01,7694.0075,2.704104051463374,1052.5
2025-01-01,7864.1257,2.2110480136651844,1073.5
2025-02-01,8052.9927,2.401627430751785,1084.25
2025-03-01,8353.3158,3.7293353066121693,1093.5
